Date,GPR_AI,GPR_AER,GPR_OIL
1960-01-01,109.67,90.34,0.0
1960-01-02,133.24,89.38,0.0
1960-01-03,56.84,74.84,0.0
1960-01-04,149.87,63.98,0.0
1960-01-05,93.22,159.18,0.0
1960-01-06,76.88,26.74,0.0
1960-01-07,74.82,63.87,0.0
1960-01-08,122.0,107.83,0.0
1960-01-09,103.19,56.18,0.0
1960-01-10,63.1,74.79,230.17
1960-01-11,110.54,72.67,0.0
1960-01-12,121.91,61.33,0.0
1960-01-13,92.47,76.47,0.0
1960-01-14,77.66,60.78,0.0
1960-01-15,128.18,42.99,0.0
1960-01-16,130.05,115.71,0.0
1960-01-17,59.93,25.78,0.0
1960-01-18,143.41,146.04,0.0
1960-01-19,111.56,49.89,0.0
1960-01-20,170.11,214.79,0.0
1960-01-21,106.46,90.89,0.0
1960-01-22,118.65,67.53,0.0
1960-01-23,125.39,126.62,0.0
1960-01-24,58.21,58.05,0.0
1960-01-25,175.42,95.96,0.0
1960-01-26,169.29,81.53,543.61
1960-01-27,153.4,78.78,0.0
1960-01-28,134.89,74.52,425.89
1960-01-29,170.96,92.12,0.0
1960-01-30,183.4,76.55,0.0
1960-01-31,82.26,57.22,0.0
1960-02-01,203.15,163.06,0.0
1960-02-02,170.35,26.01,0.0
1960-02-03,137.35,157.45,0.0
1960-02-04,105.21,126.14,0.0
1960-02-05,120.11,200.8,0.0
1960-02-06,154.19,135.33,0.0
1960-02-07,74.91,56.66,0.0
1960-02-08,148.05,207.07,591.72
1960-02-09,149.0,181.39,0.0
1960-02-10,145.61,101.29,0.0
1960-02-11,131.56,162.83,0.0
1960-02-12,157.07,148.87,0.0
1960-02-13,139.58,65.54,524.43
1960-02-14,89.22,94.1,0.0
1960-02-15,178.8,139.93,622.0
1960-02-16,119.11,92.12,0.0
1960-02-17,144.52,113.1,0.0
1960-02-18,117.19,113.14,0.0
1960-02-19,160.96,208.92,0.0
1960-02-20,107.8,23.96,0.0
1960-02-21,51.71,51.86,0.0
