Date,GPR_AI,GPR_AER,GPR_OIL,GPR_NONOIL,THREATS_GPR_AI,ACTS_GPR_AI,GPR_OIL_THREATS,GPR_OIL_ACTS,GPR_OIL_MiddleEast,GPR_OIL_Russia,GPR_OIL_USA,GPR_OIL_Venezuela,GPR_OIL_Africa,GPR_OIL_Americas,GPR_OIL_Asia,GPR_OIL_NorthSea
1960-01-01,116.35,83.01,22.59,122.48,146.25,67.34,24.73,20.52,3.65,2.21,2.21,0.0,17.7,0.0,0.0,0.0
1960-02-01,129.76,115.2,48.7,135.06,167.57,66.93,41.58,51.31,23.06,2.21,7.19,0.0,9.21,16.19,2.45,0.0
1960-03-01,112.5,90.54,12.41,119.04,148.43,51.14,15.92,6.5,3.81,2.12,2.12,0.0,2.19,4.29,0.0,0.0
1960-04-01,120.21,111.91,12.85,127.23,147.81,72.79,18.85,14.92,0.77,0.0,0.0,0.0,11.36,0.0,0.72,0.0
1960-05-01,153.26,127.65,15.72,162.26,211.62,79.72,10.95,14.06,5.43,3.84,2.3,0.0,4.01,0.0,3.21,0.0
1960-06-01,140.76,108.1,36.13,147.6,188.4,72.26,41.56,26.77,0.76,5.27,22.55,3.88,6.75,23.99,2.01,0.0
1960-07-01,159.29,104.12,92.44,163.66,181.66,126.34,92.73,86.16,0.0,20.19,40.49,12.71,31.24,59.13,2.08,0.0
1960-08-01,166.46,122.4,82.85,171.92,200.24,125.61,87.61,68.62,2.39,7.44,27.76,7.79,34.71,41.07,0.0,0.0
1960-09-01,156.08,115.62,57.19,162.55,201.78,94.8,54.19,64.63,7.27,1.49,0.72,1.23,35.78,11.22,4.37,0.0
1960-10-01,155.37,125.26,26.79,163.78,201.79,82.33,30.33,27.44,0.77,4.17,1.44,0.0,11.92,5.73,2.93,2.13
1960-11-01,133.09,114.56,49.11,138.58,162.11,89.03,43.97,40.86,0.0,2.29,4.55,11.26,14.3,16.72,6.83,0.0
1960-12-01,141.75,111.86,64.29,146.81,152.23,120.78,67.15,62.29,4.17,9.45,3.26,2.84,24.76,12.22,21.46,0.0
1961-01-01,140.79,112.99,20.49,148.66,159.54,113.53,22.58,17.95,2.67,1.59,1.65,0.0,17.25,2.39,0.0,0.0
1961-02-01,141.19,102.01,38.75,147.89,175.82,104.61,50.13,26.79,3.31,4.67,0.0,3.22,22.7,10.52,0.87,0.0
1961-03-01,147.89,118.04,47.54,154.45,192.53,87.38,53.63,36.39,0.0,0.0,17.45,0.0,26.42,13.66,9.57,0.0
1961-04-01,193.68,173.82,30.78,204.33,217.83,158.71,34.53,30.44,4.45,2.2,4.45,0.0,8.2,16.76,2.2,0.0
1961-05-01,167.2,137.59,31.02,176.1,198.65,121.06,29.45,27.35,5.47,4.36,0.88,0.0,21.89,0.73,3.15,0.0
1961-06-01,164.5,131.37,75.61,170.31,210.56,95.81,107.61,33.22,48.32,1.97,0.0,0.0,16.41,4.77,6.11,0.0
1961-07-01,199.85,181.31,167.65,201.96,267.08,103.95,207.29,127.63,119.48,6.08,0.97,0.0,46.61,0.97,1.88,0.0
1961-08-01,218.98,216.76,53.64,229.79,286.95,118.14,72.14,56.29,7.8,7.47,10.75,0.0,28.47,9.24,0.0,0.0
1961-09-01,224.58,234.59,42.54,236.48,285.26,132.98,38.89,33.65,6.16,8.15,0.0,0.0,21.45,9.34,4.64,0.0
1961-10-01,191.88,166.74,14.92,203.45,248.07,105.06,12.69,15.71,0.0,2.2,0.0,0.0,8.46,2.08,2.18,0.0
1961-11-01,187.59,165.05,30.56,197.86,233.92,117.55,33.74,17.13,5.36,9.83,4.62,4.63,15.97,2.31,4.74,0.0
1961-12-01,197.93,181.29,75.5,205.93,228.43,153.69,93.02,61.75,28.41,6.59,0.0,6.56,22.41,6.05,10.97,0.0
1962-01-01,148.04,136.09,41.24,155.03,177.65,104.59,48.25,38.95,2.27,2.13,1.86,1.86,21.53,7.83,9.53,0.0
1962-02-01,151.53,141.52,21.35,160.04,185.47,103.67,12.5,28.73,0.0,0.0,0.0,0.0,16.84,2.06,2.45,0.0
1962-03-01,152.66,156.55,40.29,160.01,174.89,114.21,31.95,51.63,7.14,0.0,0.0,0.0,31.22,3.9,0.0,0.0
1962-04-01,145.71,146.38,35.93,152.89,167.3,105.76,23.09,46.68,4.4,0.81,0.81,1.6,16.76,0.8,11.55,0.0
1962-05-01,150.51,138.41,24.89,158.73,170.18,117.05,18.29,25.2,3.55,0.0,0.0,7.94,5.93,3.99,6.71,0.0
1962-06-01,133.79,120.92,36.38,140.16,161.77,92.59,25.68,38.63,2.35,0.75,0.0,3.47,23.84,0.0,5.97,0.0
1962-07-01,134.1,115.95,32.87,140.72,156.89,99.42,41.32,33.49,1.71,5.48,0.0,1.87,24.68,0.85,0.86,0.0
1962-08-01,134.9,98.97,14.44,142.77,153.25,107.08,15.25,9.27,4.01,1.72,0.0,2.58,0.79,7.33,1.53,0.0
1962-09-01,160.02,137.06,23.81,168.92,191.9,112.93,28.41,13.5,6.84,12.39,0.75,0.0,3.78,4.19,0.0,0.0
1962-10-01,245.7,295.33,103.82,254.97,309.86,176.33,120.03,90.6,12.96,21.73,19.26,32.42,3.09,60.38,4.2,0.0
1962-11-01,190.24,217.41,133.35,193.96,235.92,151.18,117.78,142.66,11.55,10.41,15.1,24.16,8.1,43.08,51.69,0.0
1962-12-01,176.45,184.05,126.32,179.73,219.45,118.02,76.26,136.75,0.0,19.25,0.0,2.34,9.92,14.94,98.29,0.0
1963-01-01,167.09,150.87,46.01,175.0,205.29,111.03,53.14,32.93,8.27,3.12,0.0,7.62,9.43,5.46,20.01,0.0
1963-02-01,178.58,188.22,177.27,178.66,236.96,91.24,206.48,136.68,63.69,5.58,10.92,62.53,14.02,55.03,21.72,0.0
1963-03-01,157.65,144.17,127.0,159.66,207.95,83.97,159.42,78.42,38.33,18.56,14.4,9.82,14.64,59.11,6.67,0.0
